subject,grade,standardID,standard,objective,indicator,resources
english,2,2,"Students read and analyze a wide range of literature (oral, print, visual), including literary works by Pacific authors, in many genres to build an understanding of the many dimensions (i.e., philosophical, ethical, aesthetic) of the human experience.
",Respond to stories and poems that they read.,,
english,3,2,"Students read and analyze a wide range of literature (oral, print, visual), including literary works by Pacific authors, in many genres to build an understanding of the many dimensions (i.e., philosophical, ethical, aesthetic) of the human experience.
","Describe literary elements used in short stories, songs, and poetry including legends, myths, and folk and fairy tales.",,
english,3,2,"Students read and analyze a wide range of literature (oral, print, visual), including literary works by Pacific authors, in many genres to build an understanding of the many dimensions (i.e., philosophical, ethical, aesthetic) of the human experience.
", Use graphic organizers to represent story elements.,,
english,3,2,"Students read and analyze a wide range of literature (oral, print, visual), including literary works by Pacific authors, in many genres to build an understanding of the many dimensions (i.e., philosophical, ethical, aesthetic) of the human experience.
",Compare and contrast their own feelings and behaviors with those of the characters in stories from the Pacific and other places in the world.,,
english,4,2,"Students read and analyze a wide range of literature (oral, print, visual), including literary works by Pacific authors, in many genres to build an understanding of the many dimensions (i.e., philosophical, ethical, aesthetic) of the human experience.
","Identify and describe specific elements of literary texts (setting, character development, conflict, theme, illustrations), and show understanding of meaning.",,
english,4,2,"Students read and analyze a wide range of literature (oral, print, visual), including literary works by Pacific authors, in many genres to build an understanding of the many dimensions (i.e., philosophical, ethical, aesthetic) of the human experience.
",Trace and describe the overall structure of a story or narrative (i.e. introduction provides setting and introduces characters; body develops the plot; ending concludes action and reveals main idea).,,
english,4,2,"Students read and analyze a wide range of literature (oral, print, visual), including literary works by Pacific authors, in many genres to build an understanding of the many dimensions (i.e., philosophical, ethical, aesthetic) of the human experience.
","Compare and contrast the literary elements used in Palauan stories with stories from other places (setting, illustrations, character development, conflict, theme).",,
english,1,3,"Students use a wide variety of foundational skills that provide the basis for learning to read, and connect skills for academic study being developed in Palauan and in English.","With support, demonstrate understanding of the organization and basic features of print.",,
english,1,3,"Students use a wide variety of foundational skills that provide the basis for learning to read, and connect skills for academic study being developed in Palauan and in English.","With support, demonstrate understanding of spoken words, syllables, and sounds (phonemes).",,
english,1,3,"Students use a wide variety of foundational skills that provide the basis for learning to read, and connect skills for academic study being developed in Palauan and in English.","With prompting and support, apply basic phonics and word analysis skills in decoding words.",,
english,1,3,"Students use a wide variety of foundational skills that provide the basis for learning to read, and connect skills for academic study being developed in Palauan and in English.","With prompting and support, read emergent-reader texts with purpose and understanding.",,
english,2,3,"Students use a wide variety of foundational skills that provide the basis for learning to read, and connect skills for academic study being developed in Palauan and in English.",Demonstrate understanding of the organization and basic features of print.,,
english,2,3,"Students use a wide variety of foundational skills that provide the basis for learning to read, and connect skills for academic study being developed in Palauan and in English.","Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",,
english,2,3,"Students use a wide variety of foundational skills that provide the basis for learning to read, and connect skills for academic study being developed in Palauan and in English.","Know and apply grade-level phonics and word analysis skills in decoding words, including sounding out words and saying them out loud.",,
english,2,3,"Students use a wide variety of foundational skills that provide the basis for learning to read, and connect skills for academic study being developed in Palauan and in English.",Read early reader texts with sufficient accuracy and fluency to support basic comprehension.,,
english,3,3,"Students use a wide variety of foundational skills that provide the basis for learning to read, and connect skills for academic study being developed in Palauan and in English.",Know and apply grade-level phonics and word analysis skills in decoding words.,,
english,3,3,"Students use a wide variety of foundational skills that provide the basis for learning to read, and connect skills for academic study being developed in Palauan and in English.",Read grade-appropriate texts with sufficient accuracy and fluency to support developing comprehension.,,
english,4,3,"Students use a wide variety of foundational skills that provide the basis for learning to read, and connect skills for academic study being developed in Palauan and in English.",Know and apply grade-level phonics and word analysis skills in decoding words.,,
english,4,3,"Students use a wide variety of foundational skills that provide the basis for learning to read, and connect skills for academic study being developed in Palauan and in English.","Read grade-appropriate with sufficient
accuracy and fluency to
support comprehension. ",,
